specialism,job_postings,total_vacancies,mean_applicants_per_vacancy,avg_conversion_rate,median_salary,p75_salary,avg_years_exp,demand_score,scarcity_score,pay_score,composite_score
ERP / SAP,222,448,3.782099957099957,0.04926056107936994,7500.0,9000.0,5.045045045045045,64.28571428571429,64.28571428571428,89.28571428571429,72.6190476190476
Cloud / DevOps / Infrastructure,620,1395,3.452399476995099,0.04969210652315113,5725.0,7500.0,3.4290322580645163,92.85714285714286,78.57142857142857,28.57142857142857,66.66666666666667
Software / Application Development,994,2411,5.472700488646163,0.054496757343819056,6500.0,8000.0,3.2877263581488934,100.0,42.85714285714286,50.0,64.28571428571429
IT Project / Business Analyst / PM,362,824,17.687858458300447,0.12872500188293776,7500.0,9000.0,4.461325966850829,78.57142857142857,21.42857142857143,89.28571428571429,63.095238095238095
Database Administration,55,89,3.2915151515151515,0.04326116234617611,7000.0,8000.0,4.072727272727272,28.57142857142857,85.71428571428572,71.42857142857143,61.904761904761905
Cybersecurity,245,472,8.525544217687074,0.07982985250243478,7000.0,8750.0,4.073469387755102,71.42857142857143,35.71428571428571,71.42857142857143,59.52380952380952
Network Engineering,186,390,2.651689708141321,0.04408900784009825,5500.0,6850.0,3.39247311827957,57.14285714285714,92.85714285714286,21.428571428571427,57.14285714285714
Data Science / AI / ML,67,159,24.543283582089554,0.10344381859513126,8500.0,10500.0,3.388059701492537,35.714285714285715,14.28571428571429,100.0,50.0
Mobile Development,24,81,4.092361111111111,0.04013000350657001,6625.0,9000.0,3.25,21.428571428571427,57.14285714285714,57.14285714285714,45.23809523809524
Presales / IT Sales,53,74,3.6169811320754715,0.049681356226723025,6000.0,7500.0,3.339622641509434,14.285714285714285,71.42857142857143,42.857142857142854,42.85714285714286
QA / Testing,89,211,5.236516853932584,0.05118515164850694,5750.0,6750.0,3.033707865168539,42.857142857142854,50.0,35.714285714285715,42.85714285714286
Data Engineering / Analytics,163,357,25.174978089395264,0.09249008437430731,7000.0,9000.0,3.895705521472393,50.0,7.14285714285714,71.42857142857143,42.857142857142854
IT Support / Helpdesk,437,844,14.207055682684974,0.07834366607532262,3150.0,4000.0,2.2448512585812357,85.71428571428571,28.57142857142857,7.142857142857142,40.476190476190474
UI/UX Design,20,49,45.765,0.14663024437059047,4675.0,6125.0,2.9,7.142857142857142,0.0,14.285714285714285,7.142857142857142
