specialism,job_postings,total_vacancies,avg_repost,mean_applicants_per_vacancy,avg_conversion_rate,median_salary,p75_salary,avg_years_exp,demand_score,scarcity_score,pay_score,composite_score
ERP / SAP,223,449,0.33183856502242154,3.7785927824044414,0.04923749868465901,7500.0,9000.0,5.058295964125561,64.28571428571429,64.28571428571428,89.28571428571429,72.6190476190476
Cloud / DevOps / Infrastructure,621,1460,0.35426731078904994,3.466163729045027,0.04974721759785798,5750.0,7500.0,3.4315619967793882,92.85714285714286,78.57142857142857,32.142857142857146,67.85714285714286
Software / Application Development,1004,2443,0.4123505976095618,5.447573989755265,0.05426009214622002,6500.0,8000.0,3.300796812749004,100.0,42.85714285714286,50.0,64.28571428571429
IT Project / Business Analyst / PM,363,826,0.25895316804407714,17.684586120949756,0.1288989287788974,7500.0,9000.0,4.476584022038567,78.57142857142857,21.42857142857143,89.28571428571429,63.095238095238095
Database Administration,55,89,0.2909090909090909,3.2915151515151515,0.04326116234617614,7000.0,8000.0,4.072727272727272,28.57142857142857,85.71428571428572,71.42857142857143,61.904761904761905
Cybersecurity,245,472,0.24081632653061225,8.525544217687074,0.07982985250243482,7000.0,8750.0,4.073469387755102,71.42857142857143,35.71428571428571,71.42857142857143,59.52380952380952
Network Engineering,186,390,0.3924731182795699,2.651689708141321,0.044089007840098275,5500.0,6850.0,3.39247311827957,57.14285714285714,92.85714285714286,21.428571428571427,57.14285714285714
Data Science / AI / ML,70,166,0.2714285714285714,24.07,0.10089533629569256,8625.0,10500.0,3.5,35.714285714285715,14.28571428571429,100.0,50.0
Mobile Development,24,81,0.625,4.092361111111111,0.04013000350657005,6625.0,9000.0,3.25,21.428571428571427,57.14285714285714,57.14285714285714,45.23809523809524
Presales / IT Sales,53,74,0.2830188679245283,3.6169811320754715,0.049681356226723046,6000.0,7500.0,3.339622641509434,14.285714285714285,71.42857142857143,42.857142857142854,42.85714285714286
Data Engineering / Analytics,163,357,0.32515337423312884,25.174978089395264,0.09249008437430734,7000.0,9000.0,3.895705521472393,50.0,7.14285714285714,71.42857142857143,42.857142857142854
QA / Testing,90,212,0.5222222222222223,5.3116666666666665,0.052097909222782825,5750.0,6750.0,3.0555555555555554,42.857142857142854,50.0,32.142857142857146,41.666666666666664
IT Support / Helpdesk,439,846,0.32574031890660593,14.18788914198937,0.07822717599626591,3150.0,4000.0,2.2391799544419135,85.71428571428571,28.57142857142857,7.142857142857142,40.476190476190474
UI/UX Design,20,49,0.15,45.765,0.14663024437059052,4675.0,6125.0,2.9,7.142857142857142,0.0,14.285714285714285,7.142857142857142
